chromosome	chromosome_start	chromosome_end	entrez_gene_id	snps_hh550	snps_ho1	snps_affy500	snps_exac	snps_kg3
chr1	69055	70108	79501	0	0	0	4	10
chr1	860260	879955	148398	0	13	0	9	159
chr1	879584	894689	26155	0	22	0	21	125
chr1	895967	901095	339451	0	19	0	25	113
chr1	901877	911245	84069	0	15	0	28	131
chr1	934342	935552	57801	0	7	0	1	75
chr1	948803	949920	9636	0	9	0	4	57
chr1	955503	991496	375790	0	15	0	21	176
chr1	1007126	1009687	401934	2	7	1	3	64
chr1	1017198	1051741	54991	8	19	0	7	208
chr1	1109264	1133315	254173	5	21	1	16	174
chr1	1138888	1142071	8784	1	13	1	9	79
chr1	1146706	1149518	7293	3	15	2	6	86
chr1	1152288	1167411	51150	7	18	3	7	141
chr1	1167629	1170421	126792	5	13	2	7	103
chr1	1177826	1182102	388581	2	11	0	5	66
chr1	1189289	1209265	118424	3	15	1	4	91
chr1	1215852	1227409	6339	1	18	1	15	111
chr1	1227756	1244989	116983	1	22	0	20	118
chr1	1243947	1247057	126789	1	11	0	8	43
chr1	1246969	1260071	54973	1	17	1	13	67
chr1	1260136	1264277	80772	0	10	1	10	42
chr1	1266694	1270686	83756	0	7	1	7	49
chr1	1270656	1284730	1855	0	7	1	9	71
chr1	1288069	1297157	54587	0	5	0	3	115
chr1	1309110	1310875	54998	2	8	0	1	118
chr1	1321091	1334708	81669	1	12	0	4	86
chr1	1370241	1378262	64856	0	4	1	7	77
chr1	1385069	1405538	219293	0	7	0	14	132
chr1	1407143	1433228	83858	1	7	0	11	104
chr1	1447531	1470065	55210	2	16	1	11	112
chr1	1470554	1475833	339453	2	10	1	3	88
chr1	1477053	1510249	29101	7	16	4	4	139
chr1	1550801	1565990	142678	0	6	0	10	73
chr1	1567474	1570639	8510	0	5	0	9	34
chr1	1592939	1624167	728661	1	7	0	4	130
chr1	1656277	1677431	9906	0	9	2	14	169
chr1	1682671	1711896	65220	2	11	4	7	89
chr1	1716725	1822495	2782	6	22	9	2	136
chr1	1846266	1848735	163688	1	15	0	14	71
chr1	1849029	1850712	339456	1	15	0	16	72
chr1	1853396	1935276	85452	5	30	1	35	458
chr1	1950780	1962192	2563	0	6	0	4	70
chr1	1981909	2116834	5590	17	45	9	11	476
chr1	2160134	2241558	6497	28	35	7	1	241
chr1	2252692	2356219	79906	35	67	14	12	422
chr1	2323267	2335190	11079	10	18	3	6	73
chr1	2336236	2345236	5192	5	15	2	5	80
chr1	2398898	2436969	9651	11	22	2	15	139
